ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0001567619-20-021768	021-385008               	31-DEC-2020		X0708	D	LIVE		
0001838070-20-000002	021-385007               	31-DEC-2020		X0708	D	LIVE		
0001699737-20-000001	021-385006               	31-DEC-2020		X0708	D	LIVE		
0001567619-20-021765	021-385005               	31-DEC-2020		X0708	D	LIVE		
0001656939-20-000003	021-385004               	31-DEC-2020		X0708	D	LIVE		
0001708011-20-000002	021-385003               	31-DEC-2020		X0708	D	LIVE		
0001838540-20-000001	021-385002               	31-DEC-2020		X0708	D	LIVE		
0001835867-20-000001	021-385001               	31-DEC-2020		X0708	D	LIVE		
0001213900-20-045786	021-385000               	31-DEC-2020	7381	X0708	D	LIVE		
0001838641-20-000002	021-384999               	31-DEC-2020		X0708	D	LIVE		
0001838647-20-000002	021-384998               	31-DEC-2020		X0708	D	LIVE		
0001797459-20-000002	021-356749               	31-DEC-2020		X0708	D/A	LIVE		
0001657176-20-000006	021-371771               	31-DEC-2020		X0708	D/A	LIVE		
0001838646-20-000002	021-384997               	31-DEC-2020		X0708	D	LIVE		
0001779218-20-000001	021-341419               	31-DEC-2020		X0708	D/A	LIVE		
0001838643-20-000002	021-384996               	31-DEC-2020		X0708	D	LIVE		
0001838640-20-000002	021-384995               	31-DEC-2020		X0708	D	LIVE		
0001838092-20-000001	021-384994               	31-DEC-2020		X0708	D	LIVE		
0000950142-20-002933	021-384993               	31-DEC-2020		X0708	D	LIVE		
0001838644-20-000002	021-384992               	31-DEC-2020		X0708	D	LIVE		
0001096906-20-000578	021-375898               	31-DEC-2020		X0708	D/A	LIVE		
0001838645-20-000002	021-384991               	31-DEC-2020		X0708	D	LIVE		
0001838638-20-000002	021-384990               	31-DEC-2020		X0708	D	LIVE		
0001567619-20-021762	021-384989               	31-DEC-2020	3841	X0708	D	LIVE		
0001838642-20-000002	021-384988               	31-DEC-2020		X0708	D	LIVE		
0001838648-20-000002	021-384987               	31-DEC-2020		X0708	D	LIVE		
0001693928-20-000004	021-277860               	31-DEC-2020		X0708	D/A	LIVE		
0001609428-20-000002	021-293123               	31-DEC-2020		X0708	D/A	LIVE		
0001334971-20-000002	021-384986               	31-DEC-2020		X0708	D	LIVE		
0001730586-20-000004	021-369531               	31-DEC-2020		X0708	D/A	LIVE		
0001838148-20-000002	021-384985               	31-DEC-2020		X0708	D	LIVE		
0001793423-20-000001	021-384984               	31-DEC-2020		X0708	D	LIVE		
0001658879-20-000003	021-382862               	31-DEC-2020		X0708	D/A	LIVE		
0001837012-20-000001	021-384983               	31-DEC-2020		X0708	D	LIVE		
0001838395-20-000001	021-384982               	31-DEC-2020		X0708	D	LIVE		
0001835920-20-000001	021-384981               	31-DEC-2020		X0708	D	LIVE		
0001838408-20-000001	021-384980               	31-DEC-2020		X0708	D	LIVE		
0001838612-20-000001	021-384979               	31-DEC-2020		X0708	D	LIVE		
0001768696-20-000003	021-384978               	31-DEC-2020		X0708	D	LIVE		
0001826194-20-000002	021-384977               	31-DEC-2020		X0708	D	LIVE		
0001796706-20-000001	021-355485               	31-DEC-2020		X0708	D/A	LIVE		
0001838442-20-000004	021-384976               	31-DEC-2020		X0708	D	LIVE		
0001376474-20-000336	021-352477               	31-DEC-2020		X0708	D/A	LIVE		
0001694138-20-000002	021-278087               	31-DEC-2020		X0708	D/A	LIVE		
0001836575-20-000001	021-384975               	31-DEC-2020		X0708	D	LIVE		
0001831885-20-000015	021-356763               	31-DEC-2020		X0708	D/A	LIVE		
0001702434-20-000004	021-361679               	31-DEC-2020		X0708	D/A	LIVE		
0001699390-20-000001	021-384974               	31-DEC-2020		X0708	D	LIVE		
0001837438-20-000001	021-384973               	31-DEC-2020		X0708	D	LIVE		
0001838447-20-000001	021-384972               	31-DEC-2020		X0708	D	LIVE		
0001831885-20-000014	021-356767               	31-DEC-2020		X0708	D/A	LIVE		
0001838547-20-000001	021-384971               	31-DEC-2020		X0708	D	LIVE		
0001691902-20-000001	021-276068               	31-DEC-2020		X0708	D/A	LIVE		
0001836924-20-000001	021-384970               	31-DEC-2020		X0708	D	LIVE		
0001614270-20-000001	021-384969               	31-DEC-2020		X0708	D	LIVE		
0001104659-20-140932	021-213667               	31-DEC-2020		X0708	D/A	LIVE		
0001836177-20-000001	021-384968               	31-DEC-2020		X0708	D	LIVE		
0001838174-20-000001	021-384967               	31-DEC-2020		X0708	D	LIVE		
0000950142-20-002931	021-384966               	31-DEC-2020		X0708	D	LIVE		
0001611174-20-000001	021-384965               	31-DEC-2020		X0708	D	LIVE		
0001836874-20-000001	021-384964               	31-DEC-2020		X0708	D	LIVE		
0001759569-20-000002	021-328530               	31-DEC-2020		X0708	D/A	LIVE		
0001761278-20-000001	021-384963               	31-DEC-2020		X0708	D	LIVE		
0001262227-20-000001	021-58264                	31-DEC-2020		X0708	D/A	LIVE		
0001809977-20-000003	021-366387               	31-DEC-2020		X0708	D/A	LIVE		
0001761730-20-000002	021-384962               	31-DEC-2020		X0708	D	LIVE		
0001838624-20-000001	021-384961               	31-DEC-2020		X0708	D	LIVE		
0001683168-20-004500	021-384960               	31-DEC-2020	8742	X0708	D	LIVE		
0001833146-20-000006	021-384959               	31-DEC-2020		X0708	D	LIVE		
0001798662-20-000002	021-357034               	31-DEC-2020		X0708	D/A	LIVE		
0001838560-20-000001	021-384958               	31-DEC-2020		X0708	D	LIVE		
0000945621-20-000373	021-384957               	31-DEC-2020		X0708	D	LIVE		
0001829929-20-000004	021-379550               	31-DEC-2020		X0708	D/A	LIVE		
0001838004-20-000001	021-384956               	31-DEC-2020		X0708	D	LIVE		
0001837225-20-000002	021-384955               	31-DEC-2020		X0708	D	LIVE		
0001567619-20-021749	021-384954               	31-DEC-2020		X0708	D	LIVE		
0001838517-20-000001	021-384953               	31-DEC-2020		X0708	D	LIVE		
