ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0001567619-20-021768	YES	101	0001729977	SPRUCEVIEW OPPORTUNITY FUND:U.S. SELECT GROWTH BUYOUT OS, LP	200 Fillmore Street	Suite 320	Denver	CO	COLORADO	80206	303-867-1672	DELAWARE							Other	A Cayman Islands exempted limited partnership	withinFiveYears	2018
0001838070-20-000002	YES	101	0001838070	MFlux Inc.	90 LEESE ST.		SAN FRANCISCO	CA	CALIFORNIA	94110	(614) 600-2397	DELAWARE							Corporation		withinFiveYears	2019
0001699737-20-000001	YES	101	0001699737	Samsara BioCapital, L.P.	628 MIDDLEFIELD ROAD		PALO ALTO	CA	CALIFORNIA	94301	(650) 285-4270	DELAWARE							Limited Partnership		withinFiveYears	2017
0001567619-20-021765	YES	101	0001832673	Mobix Labs, Inc.	6 JENNER	SUITE 230	IRVINE	CA	CALIFORNIA	92618	949-269-3093	DELAWARE							Corporation		withinFiveYears	2020
0001656939-20-000003	YES	101	0001656939	iboss, Inc.	101 Federal Street, 23rd Floor		Boston	MA	MASSACHUSETTS	02110	877-742-6832	MASSACHUSETTS	Phantom Technologies, Inc.						Corporation		overFiveYears	
0001708011-20-000002	YES	101	0001708011	PFM Solutions, LLC	12800 WHITEWATER DRIVE, SUITE 100		Minnetonka	MN	MINNESOTA	55343	16127105670	MINNESOTA							Limited Liability Company		withinFiveYears	2015
0001838540-20-000001	YES	101	0001838540	UnitedWest Capital Management, LLC	1309 COFFEEN AVENUE	STE. 1935	SHERIDAN	WY	WYOMING	82801	307-218-9043	WYOMING							Limited Liability Company		withinFiveYears	2020
0001835867-20-000001	YES	101	0001835867	DCM LBM Dist. as a Series of DCM Private Equity Partners, LLC	2800 PONCE DE LEON BLVD	15TH FLOOR	CORAL GABLES	FL	FLORIDA	33134	3033712776	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001213900-20-045786	YES	101	0001566826	Nxt-ID, Inc.	288 CHRISTIAN STREET	HANGAR C 2ND FLOOR	OXFORD	CT	CONNECTICUT	06478	203-266-2103	DELAWARE	Trylon Governmental Systems, Inc.						Corporation		overFiveYears	
0001838641-20-000002	YES	101	0001838641	JO Fund I, a series of FJ Labs Funds, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001838647-20-000002	YES	101	0001838647	Fund I, a series of $avage Capital, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001797459-20-000002	YES	101	0001797459	Learn Capital Venture Partners IV, L.P.	3923 North Wolf Creek Drive		EDEN	UT	UTAH	84310	(650) 458-6400	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2019
0001657176-20-000006	YES	101	0001657176	Seed CX Ltd.	327 NORTH ABERDEEN		CHICAGO	IL	ILLINOIS	60607	855-744-7333	DELAWARE							Corporation		withinFiveYears	2015
0001838646-20-000002	YES	101	0001838646	GR Fund I, a series of AngelList-Forefront Venture Partners-Funds, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001779218-20-000001	YES	101	0001779218	Illumina Innovation Fund II, L.P.	200 LINCOLN CENTER DRIVE, SUITE 300-A		FOSTER CITY	CA	CALIFORNIA	94404	(650) 781-9770	DELAWARE							Limited Partnership		withinFiveYears	2019
0001838643-20-000002	YES	101	0001838643	SE Fund I, a series of Lynx Rufus Funds, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001838640-20-000002	YES	101	0001838640	TU Fund I, a series of First Check Ventures, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001838092-20-000001	YES	101	0001838092	Select Opportunity LLC	767 5TH AVENUE, 6TH FLOOR		NEW YORK	NY	NEW YORK	10153	212-488-1391	DELAWARE							Limited Liability Company		withinFiveYears	2020
0000950142-20-002933	YES	101	0001830545	Marked Tree Partners, LP	C/O WALNUT GROVE CAPITAL PARTNERS, LP	79 SOUTH SECOND STREET, SUITE 201	MEMPHIS	TN	TENNESSEE	38103	901-260-1270	DELAWARE							Limited Partnership		withinFiveYears	2018
0001838644-20-000002	YES	101	0001838644	SW Fund I, a series of Remote First Capital, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001096906-20-000578	YES	101	0001787781	XYZ CBD Group, Inc	1401 STEELE RD		FRANKLIN	KY	KENTUCKY	42134	281-770-0851	DELAWARE							Corporation		withinFiveYears	2018
0001838645-20-000002	YES	101	0001838645	PI Gaingels Fund I, a series of Flucas Ventures, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001838638-20-000002	YES	101	0001838638	OS Gaingels Fund I, a series of AngelList-GP-Funds-I, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001567619-20-021762	YES	101	0001350653	Alphatec Holdings, Inc.	5818 El Camino Real		Carlsbad	CA	CALIFORNIA	92008	760-431-9286	DELAWARE							Corporation		overFiveYears	
0001838642-20-000002	YES	101	0001838642	HY Fund I, a series of Cabra VC, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001838648-20-000002	YES	101	0001838648	EX Fund I, a series of Fourth Realm Funds, LP	411 1st Ave S	Ste 505	SEATTLE	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2020
0001693928-20-000004	YES	101	0001693928	Alluvial Fund LP	816 Thorn Street		Sewickley	PA	PENNSYLVANIA	15143	4123682321	DELAWARE							Limited Partnership		withinFiveYears	2015
0001609428-20-000002	YES	101	0001609428	Fruit Street Health, P.B.C.	85 BROAD STREET	17TH FL	NEW YORK	NY	NEW YORK	10004	9177339830	DELAWARE				Fruit Street Health, Inc.	Welliko, Inc.		Corporation		overFiveYears	
0001334971-20-000002	YES	101	0001334971	CYTIMMUNE SCIENCES INC	15010 BROSCHART ROAD		ROCKVILLE	MD	MARYLAND	20850	301-825-3041	DELAWARE							Corporation		overFiveYears	
0001730586-20-000004	YES	101	0001730586	Allos Environmental, Inc.	298 24TH STREET	STE. 170	OGDEN	UT	UTAH	84401	435-414-9880	DELAWARE	Allos Environmental Group, LLC	Promontory Point Resources, LLC					Corporation		overFiveYears	
0001838148-20-000002	YES	101	0001838148	Synott Square, LLC	4015 WINDMILL CREEK DRIVE		RICHMOND	TX	TEXAS	77407	832-340-5586	TEXAS							Limited Liability Company		withinFiveYears	2020
0001793423-20-000001	YES	101	0001793423	Orbit Labs, Inc.	825 MASONIC AVE., APT. 1		SAN FRANCISCO	CA	CALIFORNIA	94117	9012681570	DELAWARE							Corporation		withinFiveYears	2019
0001658879-20-000003	YES	101	0001658879	Sirnaomics, Inc.	401 PROFESSIONAL DRISUITE 280		GAITHERSBURG	MD	MARYLAND	20879	(301) 740-1730	DELAWARE							Corporation		overFiveYears	
0001837012-20-000001	YES	101	0001837012	ECREP Intermediate REIT LLC	C/O ELLINGTON MANAGEMENT GROUP, L.L.C.	53 FOREST AVENUE, SUITE 301	OLD GREENWICH	CT	CONNECTICUT	06870	203-698-1200	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001838395-20-000001	YES	101	0001838395	Ocean Capital LLC	METRO OFFICE PARK	8 CALLE #1, SUITE 401	GUAYNABO	PR	PUERTO RICO	00968	787-979-2165	PUERTO RICO							Limited Liability Company		overFiveYears	
0001835920-20-000001	YES	101	0001835920	Jack Altman Fund, L.P.	29 DORLAND STREET		SAN FRANCISCO	CA	CALIFORNIA	94110	314-497-4264	DELAWARE							Limited Partnership		withinFiveYears	2020
0001838408-20-000001	YES	101	0001838408	YESLER SOLUTIONS, INC.	240 2ND AVENUE	SUITE 300	SEATTLE	WA	WASHINGTON	98104	208 484 3132	DELAWARE							Corporation		withinFiveYears	2019
0001838612-20-000001	YES	101	0001838612	TOPAZ EIGHT, LLC	12884 S FAYVIEW LANE		DRAPER	UT	UTAH	84020	9175768218	UTAH							Limited Liability Company		withinFiveYears	2020
