"FACTSET_PERSON_ID"|"PEOPLE_NAME_TYPE"|"PEOPLE_NAME_VALUE"
"000HZR-E"|"PRESENTATION_NAME"|"Larry Ellison"
"000RBC-E"|"PRESENTATION_NAME"|"Ab Nicholas"
"000TDW-E"|"PRESENTATION_NAME"|"Boone Pickens"
"000VSH-E"|"PRESENTATION_NAME"|"Chuck Schwab"
"00118X-E"|"PRESENTATION_NAME"|"Bill Gates"
"0011QH-E"|"PRESENTATION_NAME"|"Pete Petit"
"00122Z-E"|"PRESENTATION_NAME"|"Gill Goodrich"
"00125K-E"|"PRESENTATION_NAME"|"Bob Alexander"
"0012ML-E"|"PRESENTATION_NAME"|"Randy Thurman"
"0012PB-E"|"PRESENTATION_NAME"|"Pat Pathipati"
"0012QZ-E"|"PRESENTATION_NAME"|"Chuck Royce"
"00141D-E"|"PRESENTATION_NAME"|"Tripp Wommack"
"00148P-E"|"PRESENTATION_NAME"|"Bill Smith"
"0016SG-E"|"PRESENTATION_NAME"|"Ron Burkle"
"00175F-E"|"PRESENTATION_NAME"|"Rick Anicetti"
"0017H2-E"|"PRESENTATION_NAME"|"Bill Welch"
"0018CK-E"|"PRESENTATION_NAME"|"Marty Mannion"
"0018LR-E"|"PRESENTATION_NAME"|"Tom Winmill"
"0019QK-E"|"PRESENTATION_NAME"|"Randy Quirk"
"0019R6-E"|"PRESENTATION_NAME"|"Pat Stone"
"0019V7-E"|"PRESENTATION_NAME"|"Steve Hovde"
"001BWW-E"|"PRESENTATION_NAME"|"Jamie Dinan"
"001C0B-E"|"PRESENTATION_NAME"|"Bill Priest"
"001C4F-E"|"PRESENTATION_NAME"|"Doug Breeden"
"001C66-E"|"PRESENTATION_NAME"|"Jon Merriman"
"001CLT-E"|"PRESENTATION_NAME"|"Les Kaplan"
"001CSB-E"|"PRESENTATION_NAME"|"Mel Payne"
"001CTT-E"|"PRESENTATION_NAME"|"Sam Zell"
"001CX4-E"|"PRESENTATION_NAME"|"Ric Campo"
"001CYW-E"|"PRESENTATION_NAME"|"Ron Eubel"
"001D9X-E"|"PRESENTATION_NAME"|"Phil Hempleman"
"001DQX-E"|"PRESENTATION_NAME"|"Steve Rasmussen"
"001DRS-E"|"PRESENTATION_NAME"|"Jim Coleman"
"001FKW-E"|"PRESENTATION_NAME"|"Jock Holliman"
"001FPT-E"|"PRESENTATION_NAME"|"Doug Baker"
"001GH6-E"|"PRESENTATION_NAME"|"Rick Birkmeyer"
"001HN4-E"|"PRESENTATION_NAME"|"Jack Cameron"
"001HPD-E"|"PRESENTATION_NAME"|"Tom Gruenwald"
"001HQ9-E"|"PRESENTATION_NAME"|"Ron Lane"
"001HSB-E"|"PRESENTATION_NAME"|"Tim Vargo"
"001HTK-E"|"PRESENTATION_NAME"|"ALLEN Chao"
"001J2S-E"|"PRESENTATION_NAME"|"Bill Grant"
"001J9Z-E"|"PRESENTATION_NAME"|"Ed Baker"
"001JHS-E"|"PRESENTATION_NAME"|"Rob Katz"
"001JQV-E"|"PRESENTATION_NAME"|"Jerry Yang"
"001JXP-E"|"PRESENTATION_NAME"|"Bob Antin"
"001JYQ-E"|"PRESENTATION_NAME"|"Dan Baty"
"001JZL-E"|"PRESENTATION_NAME"|"Bill Boyd"
"001K2F-E"|"PRESENTATION_NAME"|"Jim Crane"
"001K37-E"|"PRESENTATION_NAME"|"Dick DeWolfe"
"001K7F-E"|"PRESENTATION_NAME"|"Bill Hambrecht"
"001K7R-E"|"PRESENTATION_NAME"|"Reed Hastings"
"001KMK-E"|"PRESENTATION_NAME"|"Dave Scott"
"001KR5-E"|"PRESENTATION_NAME"|"Bill Umphrey"
"001KT5-E"|"PRESENTATION_NAME"|"Ron Zwanziger"
"001L4S-E"|"PRESENTATION_NAME"|"Rob Kapito"
"001MFD-E"|"PRESENTATION_NAME"|"Bob Lorsch"
"001MK4-E"|"PRESENTATION_NAME"|"Tim Ledwick"
"001MND-E"|"PRESENTATION_NAME"|"Chip Mahan"
"001NHL-E"|"PRESENTATION_NAME"|"Bill Nasgovitz"
"001NWJ-E"|"PRESENTATION_NAME"|"Bill Hasler"
"001P3Y-E"|"PRESENTATION_NAME"|"Tony Miller"
"001PTD-E"|"PRESENTATION_NAME"|"Phil Marineau"
"001Q41-E"|"PRESENTATION_NAME"|"Ed Jamieson"
"001Q42-E"|"PRESENTATION_NAME"|"Charlie Johnson"
"001QM2-E"|"PRESENTATION_NAME"|"Jeff Jonas"
"001QYD-E"|"PRESENTATION_NAME"|"J. Stephen Eaton"
"001RJN-E"|"PRESENTATION_NAME"|"Tom Strauss"
"001SMZ-E"|"PRESENTATION_NAME"|"Steve Bathgate"
"001TMX-E"|"PRESENTATION_NAME"|"Bill Morton"
"001V38-E"|"PRESENTATION_NAME"|"Cam Lanier"
"001V8W-E"|"PRESENTATION_NAME"|"Ken Smith"
"001VZF-E"|"PRESENTATION_NAME"|"Donald Sussman"
"001WTX-E"|"PRESENTATION_NAME"|"Joe DiSabato"
"001WVF-E"|"PRESENTATION_NAME"|"Mason Hawkins"
"001XR9-E"|"PRESENTATION_NAME"|"Gene Edwards"
"001YD8-E"|"PRESENTATION_NAME"|"Tom Patterson"
"001YF2-E"|"PRESENTATION_NAME"|"Al Siemer"
"001YPF-E"|"PRESENTATION_NAME"|"Jim Koch"
"001YPV-E"|"PRESENTATION_NAME"|"Pat LePore"
"001YZT-E"|"PRESENTATION_NAME"|"Tim Crown"
"001ZCD-E"|"PRESENTATION_NAME"|"Tim Timken"
"001ZHG-E"|"PRESENTATION_NAME"|"Michael T. Riordan"
"0020DH-E"|"PRESENTATION_NAME"|"Dan McEnroe"
"002132-E"|"PRESENTATION_NAME"|"Tom Kubota"
"0021FM-E"|"PRESENTATION_NAME"|"Larry Fink"
"0021J5-E"|"PRESENTATION_NAME"|"Bob Poile"
"0021L7-E"|"PRESENTATION_NAME"|"Bill Murski"
"0021M2-E"|"PRESENTATION_NAME"|"Al West"
"0021NV-E"|"PRESENTATION_NAME"|"Mike Salzhauer"
"0022HN-E"|"PRESENTATION_NAME"|"Randy Churchey"
"0022MG-E"|"PRESENTATION_NAME"|"Jeff Montgomery"
"0022PD-E"|"PRESENTATION_NAME"|"Christopher Donahue"
"0022RY-E"|"PRESENTATION_NAME"|"Bob Gipson"
"0022V7-E"|"PRESENTATION_NAME"|"Tom O'Toole"
"0022Y9-E"|"PRESENTATION_NAME"|"Richie Lee"
"00235B-E"|"PRESENTATION_NAME"|"Tim Barton"
"00238R-E"|"PRESENTATION_NAME"|"Mitch Francis"
"0023BF-E"|"PRESENTATION_NAME"|"Ede Holiday"
"0023DJ-E"|"PRESENTATION_NAME"|"Ken Hunt"
"0024G4-E"|"PRESENTATION_NAME"|"Brad Feld"
"0024GQ-E"|"PRESENTATION_NAME"|"Rick Konrad"
"0024M6-E"|"PRESENTATION_NAME"|"Larry Schloss"
"00250Y-E"|"PRESENTATION_NAME"|"William Egan"
"002678-E"|"PRESENTATION_NAME"|"Alex Grinberg"
"0026NR-E"|"PRESENTATION_NAME"|"Jim Bernhard"
"0026RF-E"|"PRESENTATION_NAME"|"Frank Burke"
"00270R-E"|"PRESENTATION_NAME"|"Tony Grillo"
"0027NX-E"|"PRESENTATION_NAME"|"Gil Playford"
"0027R3-E"|"PRESENTATION_NAME"|"Mike Roberts"
"00285Q-E"|"PRESENTATION_NAME"|"Don Stewart"
"00287C-E"|"PRESENTATION_NAME"|"Lee Higdon"
"0028GS-E"|"PRESENTATION_NAME"|"Jeff Greenberg"
"0028R6-E"|"PRESENTATION_NAME"|"Steven Rales"
"0028SK-E"|"PRESENTATION_NAME"|"Tom Boucher"
"00292D-E"|"PRESENTATION_NAME"|"Tim Draper"
"002931-E"|"PRESENTATION_NAME"|"Tres Kleberg"
"00299Y-E"|"PRESENTATION_NAME"|"E. Jack Stewart"
"002BGM-E"|"PRESENTATION_NAME"|"Jay Larson"
"002BQT-E"|"PRESENTATION_NAME"|"Will Lansing"
"002BRN-E"|"PRESENTATION_NAME"|"Jeff Smith"
"002BWQ-E"|"PRESENTATION_NAME"|"Denny Hudson"
"002CQD-E"|"PRESENTATION_NAME"|"Bill Elmore"
"002CVN-E"|"PRESENTATION_NAME"|"Rob McCabe"
"002CZ2-E"|"PRESENTATION_NAME"|"Jeff Skoll"
"002D1H-E"|"PRESENTATION_NAME"|"Sanju Bansal"
"002D56-E"|"PRESENTATION_NAME"|"Jeff Townsend"
"002D5F-E"|"PRESENTATION_NAME"|"Meg Whitman"
"002DL7-E"|"PRESENTATION_NAME"|"Mike Costello"
"002DMX-E"|"PRESENTATION_NAME"|"Tim Itin"
"002DX4-E"|"PRESENTATION_NAME"|"Tim Morris"
"002F0G-E"|"PRESENTATION_NAME"|"Tom Meredith"
"002F3Y-E"|"PRESENTATION_NAME"|"Larry Berg"
"002F98-E"|"PRESENTATION_NAME"|"Chris Ford"
"002FB1-E"|"PRESENTATION_NAME"|"Stan Shelton"
"002FZX-E"|"PRESENTATION_NAME"|"Mike Salerno"
"002GPW-E"|"PRESENTATION_NAME"|"Al Freeman"
"002HBX-E"|"PRESENTATION_NAME"|"Jim Nichols"
"002HG4-E"|"PRESENTATION_NAME"|"Brad Horwitz"
"002HHV-E"|"PRESENTATION_NAME"|"Andy Ziegler"
"002J5M-E"|"PRESENTATION_NAME"|"Jackie Ward"
"002JR8-E"|"PRESENTATION_NAME"|"Hap Fauth"
"002K7Z-E"|"PRESENTATION_NAME"|"Lloyd McAdams"
"002L0Z-E"|"PRESENTATION_NAME"|"Ken Pasternak"
"002LZK-E"|"PRESENTATION_NAME"|"Tom Grant"
"002M3V-E"|"PRESENTATION_NAME"|"Mac Moore"
"002MJX-E"|"PRESENTATION_NAME"|"Jim Holder"
"002NM1-E"|"PRESENTATION_NAME"|"Ken Coleman"
"002P02-E"|"PRESENTATION_NAME"|"Maggie Wilderotter"
"002PFQ-E"|"PRESENTATION_NAME"|"Jim Marver"
"002PL0-E"|"PRESENTATION_NAME"|"Chip McClure"
"002PVZ-E"|"PRESENTATION_NAME"|"Jim Coulter"
"002QDD-E"|"PRESENTATION_NAME"|"Ron Silberstein"
"002QJT-E"|"PRESENTATION_NAME"|"Spencer Gould"
"002R0C-E"|"PRESENTATION_NAME"|"Bob Deutsch"
"002R5N-E"|"PRESENTATION_NAME"|"Ron Baron"
"002RKP-E"|"PRESENTATION_NAME"|"Mike Edwards"
"002SFC-E"|"PRESENTATION_NAME"|"Hub King"
"002SGB-E"|"PRESENTATION_NAME"|"Will Riley"
"002SKF-E"|"PRESENTATION_NAME"|"Geoff Williams"
"002STW-E"|"PRESENTATION_NAME"|"Bob Robotti"
"002TGV-E"|"PRESENTATION_NAME"|"Tom Leighton"
"002TP6-E"|"PRESENTATION_NAME"|"Vinny Smith"
"002TWB-E"|"PRESENTATION_NAME"|"Alex Henry"
"002V33-E"|"PRESENTATION_NAME"|"Steve Mack"
"002V3X-E"|"PRESENTATION_NAME"|"Nick Padgett"
"002VD6-E"|"PRESENTATION_NAME"|"Rob Hale"
"002VL3-E"|"PRESENTATION_NAME"|"Mike Cockrell"
"002VMN-E"|"PRESENTATION_NAME"|"Rob Kuhling"
"002W33-E"|"PRESENTATION_NAME"|"Jack Remondi"
"002WDJ-E"|"PRESENTATION_NAME"|"Ron Olin"
"002X0L-E"|"PRESENTATION_NAME"|"Jerry DeCiccio"
"002X50-E"|"PRESENTATION_NAME"|"Wayne Nordberg"
"002XSS-E"|"PRESENTATION_NAME"|"Dan Mitchell"
"002Y1P-E"|"PRESENTATION_NAME"|"Brad Keywell"
"002YL3-E"|"PRESENTATION_NAME"|"Greg Laborde"
"002ZCR-E"|"PRESENTATION_NAME"|"Bill Doyle"
"00301J-E"|"PRESENTATION_NAME"|"Thom Kidrin"
"00305T-E"|"PRESENTATION_NAME"|"Ric Clark"
"003079-E"|"PRESENTATION_NAME"|"Bob Shapard"
"0030H3-E"|"PRESENTATION_NAME"|"Jon Foster"
"00319W-E"|"PRESENTATION_NAME"|"Jeff McCormick"
"0031S0-E"|"PRESENTATION_NAME"|"Mike Medavoy"
"00320V-E"|"PRESENTATION_NAME"|"Mike Gausling"
"00324H-E"|"PRESENTATION_NAME"|"Nico Pronk"
"0033JP-E"|"PRESENTATION_NAME"|"Fred Driscoll"
"0033T2-E"|"PRESENTATION_NAME"|"Mike Linn"
"0033YM-E"|"PRESENTATION_NAME"|"Tom Mitchell"
"0034RX-E"|"PRESENTATION_NAME"|"Greg Kerley"
"0035BC-E"|"PRESENTATION_NAME"|"Jim Madden"
"0035F2-E"|"PRESENTATION_NAME"|"Greg Wolfond"
"003627-E"|"PRESENTATION_NAME"|"Larry Bohn"
"0036GS-E"|"PRESENTATION_NAME"|"Bill Richardson"
"003719-E"|"PRESENTATION_NAME"|"Steve Odland"
"00385R-E"|"PRESENTATION_NAME"|"Tom Glocer"
"00388R-E"|"PRESENTATION_NAME"|"Jef McGill"
"0038SD-E"|"PRESENTATION_NAME"|"Fred Klingenstein"
"00393Z-E"|"PRESENTATION_NAME"|"Bill Hinz"
"0039Z4-E"|"PRESENTATION_NAME"|"Bob Card"
"003BSH-E"|"PRESENTATION_NAME"|"Rick George"
"003FJW-E"|"PRESENTATION_NAME"|"Jody LaNasa"
"003GLV-E"|"PRESENTATION_NAME"|"Cindy Tysinger"
"003GVJ-E"|"PRESENTATION_NAME"|"Scott Fine"
"003H2S-E"|"PRESENTATION_NAME"|"Bob Johnson"
"003H7C-E"|"PRESENTATION_NAME"|"Dev Randhawa"
"003H9T-E"|"PRESENTATION_NAME"|"Goldie Goldwasser"
"003LFZ-E"|"PRESENTATION_NAME"|"Rick Patterson"
"003LSH-E"|"PRESENTATION_NAME"|"Rick Rule"
"003M0S-E"|"PRESENTATION_NAME"|"Chris Houghton"
"003NG8-E"|"PRESENTATION_NAME"|"Bob Hellman"
"003VCF-E"|"PRESENTATION_NAME"|"Will Knuff"
"003W4R-E"|"PRESENTATION_NAME"|"Ron Netolitzky"
"003Z0M-E"|"PRESENTATION_NAME"|"Sy Jacobs"
"003ZCJ-E"|"PRESENTATION_NAME"|"Bill Tresham"
"003ZV4-E"|"PRESENTATION_NAME"|"Ben Allen"
"0041N1-E"|"PRESENTATION_NAME"|"Bob Paulson"
"00423F-E"|"PRESENTATION_NAME"|"Terry Abdel-Meguid"
"004241-E"|"PRESENTATION_NAME"|"Dan Farrell"
"004407-E"|"PRESENTATION_NAME"|"Jerry Thunelius"
"0044D3-E"|"PRESENTATION_NAME"|"Ed Skoda"
"0044KB-E"|"PRESENTATION_NAME"|"Manny Hilario"
"0044L7-E"|"PRESENTATION_NAME"|"Dwight Scott"
"0044LD-E"|"PRESENTATION_NAME"|"Steve Thieke"
