N,ID,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191
0,1800_0001104659-11-014429,,X0704,D,LIVE,,,,,,,,,0000001800,,ABBOTT LABORATORIES,,100 Abbott Park Road,,Abbott Park,IL,ILLINOIS,60064-3500,847-937-6100,ILLINOIS,,,,,,,,,Corporation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceuticals,,,,,"Over $100,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,false,,,2011-03-01,,,false,,,true,,,,,,,,,false,,1000,,,,,,,,,,,,,,,,,,,,,100000,100000,0,,,false,,1,,,200,,,0,,,,,0,,,,false,,,,,,
1,3530_0000003530-12-000004,,X0706,D,LIVE,,,,,,,,,0000003530,,"ALGONQUIN GAS TRANSMISSION, LLC",,5400 WESTHEIMER COURT,,HOUSTON,TX,TEXAS,77056,(713) 627-5400,DELAWARE,,,,,,ALGONQUIN GAS TRANSMISSION LLC,ALGONQUIN GAS TRANSMISSION CO,,Limited Liability Company,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Energy,,,,,Decline to Disclose,,,06,,,,,,,,,,,,,,,,,,,,,,,false,,,2012-07-17,,,false,,,true,,,,,,,,,false,,1000000,,,,,,,,,,,,,,,,,,,,,350000000,350000000,0,,,false,,14,,,875000,,,0,,,,,0,,,,false,,,,,,
2,2809_0000002809-13-000001,,X0706,D/A,LIVE,,,,,,,,,0000002809,,AGNICO EAGLE MINES LTD,,145 KING STREET EAST,SUITE 400,TORONTO,A6,"ONTARIO, CANADA",M5C 2Y7,4169471212,"ONTARIO, CANADA",,,,,,,,,Corporation,,,true,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,"Over $100,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,true,0000002809-12-000001,,2008-12-03,,,false,,true,,true,true,,,,,,,false,,779625,,,,,,,,,,,,,,,,,,,,,75146400,42940800,32205600,"The $32,205,600 amount represents the aggregate exercise price of the common share purchase warrants sold in the offering.",,false,,9,,,1288224,,,0,,,,,0,,,,false,,,,,,
3,2809_0000002809-10-000004,,X0704,D/A,LIVE,,,,,,,,,0000002809,,AGNICO EAGLE MINES LTD,,145 KING STREET EAST,SUITE 400,TORONTO,A6,"ONTARIO, CANADA",M5C 2Y7,4169471212,"ONTARIO, CANADA",,,,,,,,,Corporation,,,true,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,"Over $100,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,true,0000002809-09-000003,,2008-12-03,,,true,,true,,true,true,,,,,,,false,,779625,,,,,,,,,,,,,,,,,,,,,75146400,42940800,32205600,"The $32,205,600 amount represents the aggregate exercise price of the common share purchase warrants sold in the offering.",,false,,9,,,1288224,,,0,,,,,0,,,,false,,,,,,
4,2381_0001465818-11-000005,,X0704,D,LIVE,,,,,,,,,0000002381,,ADMINISTRATIVE SYSTEMS INC,,"1651 RESPONSE ROAD, SUITE 150",,SACRAMENTO,CA,CALIFORNIA,95815,916-929-5515,CALIFORNIA,,,,,,,,,Corporation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Technology,,,,,"$5,000,001 - $25,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,false,,,2011-02-15,,,false,,true,,,,,,,,,,true,Shares were issued pursuant to a securities purchase agreement related to a business combination transaction.,0,,,,,,,,,,,,,,,,,,,,,7723237,7723237,0,,,false,,7,,,0,,,308226,,"Finder was related to the business combination transaction, but not involved in the solicitation of investors in the placement.",,,400783,,,,false,,,,,,
5,3570_0000003570-11-000001,,X0704,D,LIVE,,,,,,,,,0000003570,,CHENIERE ENERGY INC,,700 MILAM ST.,SUITE 800,HOUSTON,TX,TEXAS,77002,7133755000,DELAWARE,,,,,,BEXY COMMUNICATIONS INC,ALL AMERICAN GROUP OF DELAWARE INC,ALL AMERICAN BURGER INC,Corporation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil and Gas,,,,,"Over $100,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,false,,,2010-12-22,,,false,,true,,,,,,,,,,false,,0,,,,,,,,,,,,,,,,,,,,,55383750,55383750,0,"The value of the offering is equal to the amount of shares issued to the investors (10,125,000) on 12/22/2010 (the ""Closing Date"") times the closing price of Cheniere Energy, Inc.'s common stock on NYSE Amex Equities on the Closing Date ($5.47 per share).",,false,,5,,,0,,,0,,,,,0,,No payments to directors and officers listed in Item 3 above were made pursuant to this offering.,,false,,,,,,
6,3530_0000003530-19-000002,,X0708,D,LIVE,,,,,,,,,0000003530,,"ALGONQUIN GAS TRANSMISSION, LLC",,5400 WESTHEIMER COURT,,HOUSTON,TX,TEXAS,77056,(713) 627-5400,DELAWARE,,,,,,ALGONQUIN GAS TRANSMISSION LLC,ALGONQUIN GAS TRANSMISSION CO,,Limited Liability Company,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Energy,,,,,Decline to Disclose,,,06b,,,,,,,,,,,,,,,,,,,,,,,false,,,2019-08-05,,,false,,,true,,,,,,,,,false,,1000000,,,,,,,,,,,,,,,,,,,,,500000000,500000000,0,,,false,,20,,,0,,,0,,,,,0,,,,false,,,,,,
7,1961_0001264931-13-000063,,X0706,D,LIVE,,,,,,,,,0000001961,,WORLDS INC,,11 ROYAL ROAD,,BROOKLINE,MA,MASSACHUSETTS,02445,617-725-8900,NEW JERSEY,,,,,,"Worlds.com, Inc.",WORLDS COM INC,WORLDS INC,Corporation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Technology,,,,,"$1 - $1,000,000",,,05,06,46,,,,,,,,,,,,,,,,,,,,,false,,,2012-12-05,,,false,,true,,true,,,,,,,,false,,5000,,,,,,,,,,,,,,,,,,,,,500000,302000,198000,,,false,,15,,,0,,,0,,,,,39000,true,,,false,,,,,,
8,2473_0000002473-10-000003,,X0704,D,LIVE,,,,,,,,,0000002473,,ADVANCED DIGITAL SYSTEMS INC,,4601 CREEKSTONE DRIVE,SUITE 130,DURHAM,NC,NORTH CAROLINA,27703,919-485-4819,DELAWARE,,,,,,,,,Corporation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Technology,,,,,Decline to Disclose,,,06,,,,,,,,,,,,,,,,,,,,,,,false,,,2010-08-18,,,false,,,true,,,,,,,,,false,,0,,,,,,,,,,,,,,,,,,,,,200000,85000,115000,,,false,,2,,,0,,,0,,,,,33700,true,,,false,,,,,,
9,2473_0000002473-11-000003,,X0704,D,LIVE,,,,,,,,,0000002473,,ADVANCED DIGITAL SYSTEMS INC,,4601 CREEKSTONE DRIVE,SUITE 102,DURHAM,NC,NORTH CAROLINA,27703,919-485-4819,DELAWARE,,,,,,,,,Corporation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Technology,,,,,Decline to Disclose,,,06,,,,,,,,,,,,,,,,,,,,,,,false,,,2011-08-03,,,false,,true,true,,,,,,,,,false,,25000,,,,,,,,,,,,,,,,,,,,,125000,125000,0,,,false,,2,,,0,,,0,,,,,0,,,,false,,,,,,
10,2809_0000002809-11-000001,,X0704,D/A,LIVE,,,,,,,,,0000002809,,AGNICO EAGLE MINES LTD,,145 KING STREET EAST,SUITE 400,TORONTO,A6,"ONTARIO, CANADA",M5C 2Y7,4169471212,"ONTARIO, CANADA",,,,,,,,,Corporation,,,true,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,"Over $100,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,true,0000002809-10-000004,,2008-12-03,,,true,,true,,true,true,,,,,,,false,,779625,,,,,,,,,,,,,,,,,,,,,75146400,42940800,32205600,"The $32,205,600 amount represents the aggregate exercise price of the common share purchase warrants sold in the offering.",,false,,9,,,1288224,,,0,,,,,0,,,,false,,,,,,
11,1800_0001104659-10-014032,,X0603,D,LIVE,,,,,,,,,0000001800,,ABBOTT LABORATORIES,,100 Abbott Park Road,,Abbott Park,IL,,60064-3500,847-937-6100,ILLINOIS,,,,,,,,,Corporation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceuticals,,,,,"Over $100,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,false,,,2010-03-01,,,false,,,true,,,,,,,,,false,,1000,,,,,,,,,,,,,,,,,,,,,70000,70000,0,,,false,,1,,,140,,,0,,,,,0,,,,false,,,,,,
12,2809_0000002809-12-000001,,X0704,D/A,LIVE,,,,,,,,,0000002809,,AGNICO EAGLE MINES LTD,,145 KING STREET EAST,SUITE 400,TORONTO,A6,"ONTARIO, CANADA",M5C 2Y7,4169471212,"ONTARIO, CANADA",,,,,,,,,Corporation,,,true,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,"Over $100,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,true,0000002809-11-000001,,2008-12-03,,,true,,true,,true,true,,,,,,,false,,779625,,,,,,,,,,,,,,,,,,,,,75146400,42940800,32205600,"The $32,205,600 amount represents the aggregate exercise price of the common share purchase warrants sold in the offering.",,false,,9,,,1288224,,,0,,,,,0,,,,false,,,,,,
13,4187_0000911959-13-000012,,X0706,D,LIVE,,,,,,,,,0000004187,,INDUSTRIAL SERVICES OF AMERICA INC /FL,,7100 GRADE LN BUILDING 1,,LOUISVILLE,KY,KENTUCKY,40232,5023681661,FLORIDA,,,,,,ALSON INDUSTRIES INC,ALSON MANUFACTURING CO INC,,Corporation,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,"Over $100,000,000",,,06,,,,,,,,,,,,,,,,,,,,,,,false,,,2013-04-01,,,true,,true,,true,,,,,,,,false,,500000,,,,,,,,,,,,,,,,,,,,,8900000,500000,8400000,"Details of the Offering may be found in the Issuer's Current Report on Form 8-K dated April 1, 2013.",,false,,1,,,0,,,0,,,,,0,,,,false,,,,,,
